subtype,species_latin_name,species_common_name,species_description,SD_prompt
struthioniformes,Rhea pennata pennata,Darwin's Rhea," Subspecies of lesser rhea, similar in appearance but slightly smaller.","A photograph of a Darwin's Rhea (Rhea pennata pennata): Subspecies of lesser rhea, similar in appearance but slightly smaller."
struthioniformes,Rhea pennata tarapacensis,Puna Rhea," Subspecies of lesser rhea, similar in appearance but with a more prominent white patch on the throat.","A photograph of a Puna Rhea (Rhea pennata tarapacensis): Subspecies of lesser rhea, similar in appearance but with a more prominent white patch on the throat."
struthioniformes,Apteryx australis,Kiwi," Small flightless bird with brown plumage, long beak and short legs.","A photograph of a Kiwi (Apteryx australis): Small flightless bird with brown plumage, long beak and short legs."
struthioniformes,Apteryx owenii,Little Spotted Kiwi," Smallest kiwi species, with spotted brown and white plumage.","A photograph of a Little Spotted Kiwi (Apteryx owenii): Smallest kiwi species, with spotted brown and white plumage."
struthioniformes,Apteryx haastii,Great Spotted Kiwi," Larger kiwi species, with spotted brown and white plumage.","A photograph of a Great Spotted Kiwi (Apteryx haastii): Larger kiwi species, with spotted brown and white plumage."
struthioniformes,Apteryx rowi,Okarito Kiwi, Kiwi species with greyish-brown plumage and a slightly longer beak.,A photograph of a Okarito Kiwi (Apteryx rowi): Kiwi species with greyish-brown plumage and a slightly longer beak.
rheiformes,Rhea pennata garleppi,Darwin's Rhea," Subspecies of the Lesser Rhea, it has a darker plumage and a larger body size.","A photograph of a Darwin's Rhea (Rhea pennata garleppi): Subspecies of the Lesser Rhea, it has a darker plumage and a larger body size."
rheiformes,Rhea pennata pennata,Chilean Rhea," Subspecies of the Lesser Rhea, it has a darker plumage and lives in low-altitude environments.","A photograph of a Chilean Rhea (Rhea pennata pennata): Subspecies of the Lesser Rhea, it has a darker plumage and lives in low-altitude environments."
apterygiformes,Apteryx mantelli,North Island Brown Kiwi, Similar to Kiwi but with a slightly longer beak and more reddish-brown plumage.,A photograph of a North Island Brown Kiwi (Apteryx mantelli): Similar to Kiwi but with a slightly longer beak and more reddish-brown plumage.
tinamiformes,Tinamus major,Great Tinamou," Large, dark brown bird with a greenish sheen, a pale throat, and a reddish belly.","A photograph of a Great Tinamou (Tinamus major): Large, dark brown bird with a greenish sheen, a pale throat, and a reddish belly."
tinamiformes,Nothocercus bonapartei,Highland Tinamou," Dark brown bird with a blackish crown, a white throat, and a chestnut belly.","A photograph of a Highland Tinamou (Nothocercus bonapartei): Dark brown bird with a blackish crown, a white throat, and a chestnut belly."
tinamiformes,Nothocercus nigrocapillus,Hooded Tinamou," Greyish-brown bird with a blackish hood, a white throat, and a grey belly.","A photograph of a Hooded Tinamou (Nothocercus nigrocapillus): Greyish-brown bird with a blackish hood, a white throat, and a grey belly."
tinamiformes,Tinamus guttatus,White-throated Tinamou," Brown bird with a white throat, a blackish crown, and a reddish belly.","A photograph of a White-throated Tinamou (Tinamus guttatus): Brown bird with a white throat, a blackish crown, and a reddish belly."
tinamiformes,Crypturellus cinereus,Cinereous Tinamou," Grey bird with a slightly darker crown, a white throat, and a grey belly.","A photograph of a Cinereous Tinamou (Crypturellus cinereus): Grey bird with a slightly darker crown, a white throat, and a grey belly."
tinamiformes,Crypturellus soui,Little Tinamou," Small, brown bird with a slightly darker crown, a white throat, and a brown belly.","A photograph of a Little Tinamou (Crypturellus soui): Small, brown bird with a slightly darker crown, a white throat, and a brown belly."
tinamiformes,Nothocercus julius,Tawny-breasted Tinamou," Brown bird with a tawny breast, a blackish crown, and a white throat.","A photograph of a Tawny-breasted Tinamou (Nothocercus julius): Brown bird with a tawny breast, a blackish crown, and a white throat."
tinamiformes,Crypturellus obsoletus,Brown Tinamou," Brown bird with a slightly darker crown, a white throat, and a brown belly.","A photograph of a Brown Tinamou (Crypturellus obsoletus): Brown bird with a slightly darker crown, a white throat, and a brown belly."
tinamiformes,Crypturellus berlepschi,Berlepsch's Tinamou," Dark brown bird with a blackish crown, a white throat, and a reddish belly.","A photograph of a Berlepsch's Tinamou (Crypturellus berlepschi): Dark brown bird with a blackish crown, a white throat, and a reddish belly."
tinamiformes,Tinamus osgoodi,Black Tinamou," Black bird with a slightly darker crown, a white throat, and a black belly.","A photograph of a Black Tinamou (Tinamus osgoodi): Black bird with a slightly darker crown, a white throat, and a black belly."
tinamiformes,Crypturellus bartletti,Bartlett's Tinamou," Brown bird with a slightly darker crown, a white throat, and a brown belly.","A photograph of a Bartlett's Tinamou (Crypturellus bartletti): Brown bird with a slightly darker crown, a white throat, and a brown belly."
tinamiformes,Rhynchotus rufescens,Red-winged Tinamou," Brown bird with red wings, a blackish crown, and a white throat.","A photograph of a Red-winged Tinamou (Rhynchotus rufescens): Brown bird with red wings, a blackish crown, and a white throat."
tinamiformes,Tinamus solitarius,Solitary Tinamou," Dark brown bird with a blackish crown, a white throat, and a reddish belly.","A photograph of a Solitary Tinamou (Tinamus solitarius): Dark brown bird with a blackish crown, a white throat, and a reddish belly."
tinamiformes,Crypturellus undulatus,Undulated Tinamou," Brown bird with undulated patterns, a white throat, and a brown belly.","A photograph of a Undulated Tinamou (Crypturellus undulatus): Brown bird with undulated patterns, a white throat, and a brown belly."
tinamiformes,Crypturellus tataupa,Tataupa Tinamou," Small, brown bird with a slightly darker crown, a white throat, and a brown belly.","A photograph of a Tataupa Tinamou (Crypturellus tataupa): Small, brown bird with a slightly darker crown, a white throat, and a brown belly."
tinamiformes,Crypturellus variegatus,Variegated Tinamou," Brown bird with variegated patterns, a white throat, and a brown belly.","A photograph of a Variegated Tinamou (Crypturellus variegatus): Brown bird with variegated patterns, a white throat, and a brown belly."
tinamiformes,Eudromia elegans,Elegant Crested Tinamou," Grey bird with a crest, a white throat, and a grey belly.","A photograph of a Elegant Crested Tinamou (Eudromia elegans): Grey bird with a crest, a white throat, and a grey belly."
tinamiformes,Crypturellus cinnamomeus,Thicket Tinamou," Brown bird with a slightly darker crown, a white throat, and a cinnamon belly.","A photograph of a Thicket Tinamou (Crypturellus cinnamomeus): Brown bird with a slightly darker crown, a white throat, and a cinnamon belly."
tinamiformes,Crypturellus kerriae,Choco Tinamou," Dark brown bird with a blackish crown, a white throat, and a reddish belly.","A photograph of a Choco Tinamou (Crypturellus kerriae): Dark brown bird with a blackish crown, a white throat, and a reddish belly."
tinamiformes,Crypturellus strigulosus,Brazilian Tinamou," Brown bird with a slightly darker crown, a white throat, and a brown belly.","A photograph of a Brazilian Tinamou (Crypturellus strigulosus): Brown bird with a slightly darker crown, a white throat, and a brown belly."
anseriformes,Anas platyrhynchos,Mallard," Males have a glossy green head, yellow bill, and gray body. Females are mottled brown with an orange bill.","A photograph of a Mallard (Anas platyrhynchos): Males have a glossy green head, yellow bill, and gray body. Females are mottled brown with an orange bill."
anseriformes,Anas acuta,Northern Pintail," Males have a chocolate-brown head, white neck, and long, pointed tail. Females are mottled brown.","A photograph of a Northern Pintail (Anas acuta): Males have a chocolate-brown head, white neck, and long, pointed tail. Females are mottled brown."
anseriformes,Anas crecca,Green-winged Teal," Males have a chestnut head with a green eye patch, gray flanks, and a buff breast. Females are mottled brown.","A photograph of a Green-winged Teal (Anas crecca): Males have a chestnut head with a green eye patch, gray flanks, and a buff breast. Females are mottled brown."
anseriformes,Aythya valisineria,Canvasback," Males have a reddish head and neck, black breast, and white body. Females are brown with a lighter belly.","A photograph of a Canvasback (Aythya valisineria): Males have a reddish head and neck, black breast, and white body. Females are brown with a lighter belly."
anseriformes,Aythya americana,Redhead," Males have a reddish head, black breast, and gray body. Females are brown with a lighter belly.","A photograph of a Redhead (Aythya americana): Males have a reddish head, black breast, and gray body. Females are brown with a lighter belly."
anseriformes,Aix sponsa,Wood Duck, Males have a multicolored iridescent plumage and red eyes. Females are gray-brown with a white eye-ring.,A photograph of a Wood Duck (Aix sponsa): Males have a multicolored iridescent plumage and red eyes. Females are gray-brown with a white eye-ring.
anseriformes,Anas clypeata,Northern Shoveler," Males have a green head, white chest, and chestnut belly. Females are mottled brown with a large, spoon-shaped bill.","A photograph of a Northern Shoveler (Anas clypeata): Males have a green head, white chest, and chestnut belly. Females are mottled brown with a large, spoon-shaped bill."
anseriformes,Mareca americana,American Wigeon," Males have a green eye patch, white forehead, and gray body. Females are mottled brown.","A photograph of a American Wigeon (Mareca americana): Males have a green eye patch, white forehead, and gray body. Females are mottled brown."
anseriformes,Mareca strepera,Gadwall," Males have a gray body, black rear end, and a white speculum. Females are mottled brown.","A photograph of a Gadwall (Mareca strepera): Males have a gray body, black rear end, and a white speculum. Females are mottled brown."
anseriformes,Spatula discors,Blue-winged Teal, Males have a gray-blue head with a white crescent in front of the eye. Females are mottled brown.,A photograph of a Blue-winged Teal (Spatula discors): Males have a gray-blue head with a white crescent in front of the eye. Females are mottled brown.
anseriformes,Spatula cyanoptera,Cinnamon Teal, Males have a cinnamon-red body and red eyes. Females are mottled brown.,A photograph of a Cinnamon Teal (Spatula cyanoptera): Males have a cinnamon-red body and red eyes. Females are mottled brown.
anseriformes,Aythya affinis,Lesser Scaup," Males have a dark head with a purple sheen, gray body, and blue bill. Females are brown with a white band on the bill.","A photograph of a Lesser Scaup (Aythya affinis): Males have a dark head with a purple sheen, gray body, and blue bill. Females are brown with a white band on the bill."
anseriformes,Aythya marila,Greater Scaup," Males have a dark head with a green sheen, gray body, and blue bill. Females are brown with a white band on the bill.","A photograph of a Greater Scaup (Aythya marila): Males have a dark head with a green sheen, gray body, and blue bill. Females are brown with a white band on the bill."
anseriformes,Somateria mollissima,Common Eider, Males are black and white with a green nape. Females are brown with black barring.,A photograph of a Common Eider (Somateria mollissima): Males are black and white with a green nape. Females are brown with black barring.
anseriformes,Somateria spectabilis,King Eider," Males have a blue-gray head, orange bill, and white body. Females are brown with black barring.","A photograph of a King Eider (Somateria spectabilis): Males have a blue-gray head, orange bill, and white body. Females are brown with black barring."
anseriformes,Histrionicus histrionicus,Harlequin Duck, Males have a dark blue body with white stripes and spots. Females are brown with a white spot behind the eye.,A photograph of a Harlequin Duck (Histrionicus histrionicus): Males have a dark blue body with white stripes and spots. Females are brown with a white spot behind the eye.
anseriformes,Clangula hyemalis,Long-tailed Duck, Males have a black and white body with a long pointed tail. Females are brown with a shorter tail.,A photograph of a Long-tailed Duck (Clangula hyemalis): Males have a black and white body with a long pointed tail. Females are brown with a shorter tail.
anseriformes,Bucephala albeola,Bufflehead," Males have a black body, white underside, and a large white patch on the head. Females are brown with a smaller white patch.","A photograph of a Bufflehead (Bucephala albeola): Males have a black body, white underside, and a large white patch on the head. Females are brown with a smaller white patch."
anseriformes,Bucephala clangula,Common Goldeneye," Males have a greenish-black head with a white circular patch, black back, and white belly. Females are brown with a white belly.","A photograph of a Common Goldeneye (Bucephala clangula): Males have a greenish-black head with a white circular patch, black back, and white belly. Females are brown with a white belly."
anseriformes,Bucephala islandica,Barrow's Goldeneye," Males have a purplish-black head with a crescent-shaped white patch, black back, and white belly. Females are brown with a white belly.","A photograph of a Barrow's Goldeneye (Bucephala islandica): Males have a purplish-black head with a crescent-shaped white patch, black back, and white belly. Females are brown with a white belly."
galliformes,Meleagris gallopavo,Wild Turkey," Large bird with a fan-shaped tail, dark plumage, and a bare, wattled head and neck.","A photograph of a Wild Turkey (Meleagris gallopavo): Large bird with a fan-shaped tail, dark plumage, and a bare, wattled head and neck."
galliformes,Pavo cristatus,Indian Peafowl, Notable for the male's extravagant eye-spotted tail covert feathers and blue-green or green colored plumage.,A photograph of a Indian Peafowl (Pavo cristatus): Notable for the male's extravagant eye-spotted tail covert feathers and blue-green or green colored plumage.
galliformes,Perdix perdix,Grey Partridge," Small, plump game bird with a distinctive orange face, grey body and chestnut belly.","A photograph of a Grey Partridge (Perdix perdix): Small, plump game bird with a distinctive orange face, grey body and chestnut belly."
galliformes,Gallus gallus,Red Junglefowl," The wild ancestor of domestic chickens, with a gold plumage, red face and wattles, and long, arching tail.","A photograph of a Red Junglefowl (Gallus gallus): The wild ancestor of domestic chickens, with a gold plumage, red face and wattles, and long, arching tail."
galliformes,Chrysolophus pictus,Golden Pheasant," Known for its golden crest, red body, and bright color patterns that include blues, greens, and yellows.","A photograph of a Golden Pheasant (Chrysolophus pictus): Known for its golden crest, red body, and bright color patterns that include blues, greens, and yellows."
galliformes,Tetrastes bonasia,Hazel Grouse," Small, stocky grouse with a brown back, grey underparts and a white-tipped tail.","A photograph of a Hazel Grouse (Tetrastes bonasia): Small, stocky grouse with a brown back, grey underparts and a white-tipped tail."
galliformes,Lagopus muta,Rock Ptarmigan, Medium-sized game bird with a white winter plumage and brown summer plumage.,A photograph of a Rock Ptarmigan (Lagopus muta): Medium-sized game bird with a white winter plumage and brown summer plumage.
galliformes,Colinus virginianus,Northern Bobwhite," Small, round-bodied quail with a short tail and a head marked by a white throat and eye stripe.","A photograph of a Northern Bobwhite (Colinus virginianus): Small, round-bodied quail with a short tail and a head marked by a white throat and eye stripe."
galliformes,Numida meleagris,Helmeted Guineafowl," Large bird with a bare head, spotted grey body, and a distinctive helmet-like casque on its head.","A photograph of a Helmeted Guineafowl (Numida meleagris): Large bird with a bare head, spotted grey body, and a distinctive helmet-like casque on its head."
galliformes,Alectoris rufa,Red-legged Partridge," Game bird with a grey body, red beak, and red legs.","A photograph of a Red-legged Partridge (Alectoris rufa): Game bird with a grey body, red beak, and red legs."
galliformes,Lagopus lagopus,Willow Ptarmigan," Bird with a red eye comb, white winter plumage and brown summer plumage.","A photograph of a Willow Ptarmigan (Lagopus lagopus): Bird with a red eye comb, white winter plumage and brown summer plumage."
galliformes,Coturnix coturnix,Common Quail," Small, short-tailed game bird with a streaked brown body.","A photograph of a Common Quail (Coturnix coturnix): Small, short-tailed game bird with a streaked brown body."
galliformes,Phasianus colchicus,Ring-necked Pheasant, Large pheasant with a long tail and a white ring around its neck.,A photograph of a Ring-necked Pheasant (Phasianus colchicus): Large pheasant with a long tail and a white ring around its neck.
galliformes,Bonasa umbellus,Ruffed Grouse," Medium-sized grouse with a fan-shaped, black-banded tail and a ruff on the sides of its neck.","A photograph of a Ruffed Grouse (Bonasa umbellus): Medium-sized grouse with a fan-shaped, black-banded tail and a ruff on the sides of its neck."
galliformes,Falcipennis canadensis,Spruce Grouse," Dark grouse with a slight crest, white spots on the wings and a chestnut tip on the tail.","A photograph of a Spruce Grouse (Falcipennis canadensis): Dark grouse with a slight crest, white spots on the wings and a chestnut tip on the tail."
galliformes,Dendragapus obscurus,Dusky Grouse," Large, dark grey grouse with a red eyebrow comb.","A photograph of a Dusky Grouse (Dendragapus obscurus): Large, dark grey grouse with a red eyebrow comb."
galliformes,Dendragapus fuliginosus,Sooty Grouse," Large grouse with a grey-blue body, yellow throat sac, and a white tail.","A photograph of a Sooty Grouse (Dendragapus fuliginosus): Large grouse with a grey-blue body, yellow throat sac, and a white tail."
galliformes,Tympanuchus phasianellus,Sharp-tailed Grouse," Medium-sized grouse with a pointed tail, white belly and speckled brown body.","A photograph of a Sharp-tailed Grouse (Tympanuchus phasianellus): Medium-sized grouse with a pointed tail, white belly and speckled brown body."
galliformes,Tympanuchus cupido,Greater Prairie Chicken," Medium-sized grouse with a round, short tail and a orange air sac on the side of its neck.","A photograph of a Greater Prairie Chicken (Tympanuchus cupido): Medium-sized grouse with a round, short tail and a orange air sac on the side of its neck."
galliformes,Tympanuchus pallidicinctus,Lesser Prairie Chicken, Smaller version of the Greater Prairie Chicken with a more barred plumage and less booming call.,A photograph of a Lesser Prairie Chicken (Tympanuchus pallidicinctus): Smaller version of the Greater Prairie Chicken with a more barred plumage and less booming call.
caprimulgiformes,Chordeiles minor,Common Nighthawk, Medium-sized bird with long wings and tail. It has a dark brown body with white bars on the wings and tail.,A photograph of a Common Nighthawk (Chordeiles minor): Medium-sized bird with long wings and tail. It has a dark brown body with white bars on the wings and tail.
caprimulgiformes,Chordeiles acutipennis,Lesser Nighthawk, Small bird with mottled grey-brown plumage. It has a white throat and white bars on the wings and tail.,A photograph of a Lesser Nighthawk (Chordeiles acutipennis): Small bird with mottled grey-brown plumage. It has a white throat and white bars on the wings and tail.
caprimulgiformes,Chordeiles gundlachii,Antillean Nighthawk, Medium-sized bird with a dark brown body and white bars on the wings and tail. It has a white throat and a slightly forked tail.,A photograph of a Antillean Nighthawk (Chordeiles gundlachii): Medium-sized bird with a dark brown body and white bars on the wings and tail. It has a white throat and a slightly forked tail.
caprimulgiformes,Caprimulgus europaeus,European Nightjar," Medium-sized bird with mottled grey-brown plumage. It has a white throat and a long, pointed wings and tail.","A photograph of a European Nightjar (Caprimulgus europaeus): Medium-sized bird with mottled grey-brown plumage. It has a white throat and a long, pointed wings and tail."
caprimulgiformes,Caprimulgus aegyptius,Egyptian Nightjar," Small bird with a sandy-brown body and a white throat. It has long, pointed wings and a slightly forked tail.","A photograph of a Egyptian Nightjar (Caprimulgus aegyptius): Small bird with a sandy-brown body and a white throat. It has long, pointed wings and a slightly forked tail."
caprimulgiformes,Caprimulgus pectoralis,Fiery-necked Nightjar, Medium-sized bird with a dark brown body and a fiery-orange neck. It has white bars on the wings and tail.,A photograph of a Fiery-necked Nightjar (Caprimulgus pectoralis): Medium-sized bird with a dark brown body and a fiery-orange neck. It has white bars on the wings and tail.
caprimulgiformes,Caprimulgus vexillarius,Pennant-winged Nightjar," Medium-sized bird with a dark brown body and a white throat. It has long, pointed wings with white spots.","A photograph of a Pennant-winged Nightjar (Caprimulgus vexillarius): Medium-sized bird with a dark brown body and a white throat. It has long, pointed wings with white spots."
caprimulgiformes,Caprimulgus longipennis,Standard-winged Nightjar," Medium-sized bird with a dark brown body and a white throat. It has long, pointed wings and a slightly forked tail.","A photograph of a Standard-winged Nightjar (Caprimulgus longipennis): Medium-sized bird with a dark brown body and a white throat. It has long, pointed wings and a slightly forked tail."
caprimulgiformes,Caprimulgus rufus,Rufous Nightjar," Small bird with a rufous-brown body and a white throat. It has long, pointed wings and a slightly forked tail.","A photograph of a Rufous Nightjar (Caprimulgus rufus): Small bird with a rufous-brown body and a white throat. It has long, pointed wings and a slightly forked tail."
caprimulgiformes,Caprimulgus candicans,White-winged Nightjar," Small bird with a white body and a white throat. It has long, pointed wings and a slightly forked tail.","A photograph of a White-winged Nightjar (Caprimulgus candicans): Small bird with a white body and a white throat. It has long, pointed wings and a slightly forked tail."
caprimulgiformes,Caprimulgus carolinensis,Sickle-winged Nightjar," Medium-sized bird with a dark brown body and a white throat. It has long, sickle-shaped wings and a slightly forked tail.","A photograph of a Sickle-winged Nightjar (Caprimulgus carolinensis): Medium-sized bird with a dark brown body and a white throat. It has long, sickle-shaped wings and a slightly forked tail."
caprimulgiformes,Caprimulgus maculicaudus,Spot-tailed Nightjar," Medium-sized bird with a dark brown body and a white throat. It has long, pointed wings and a tail with white spots.","A photograph of a Spot-tailed Nightjar (Caprimulgus maculicaudus): Medium-sized bird with a dark brown body and a white throat. It has long, pointed wings and a tail with white spots."
caprimulgiformes,Caprimulgus longirostris,Band-winged Nightjar," Medium-sized bird with a dark brown body and a white throat. It has long, pointed wings with white bands.","A photograph of a Band-winged Nightjar (Caprimulgus longirostris): Medium-sized bird with a dark brown body and a white throat. It has long, pointed wings with white bands."
caprimulgiformes,Caprimulgus parvulus,Little Nightjar," Small bird with a dark brown body and a white throat. It has short, pointed wings and a slightly forked tail.","A photograph of a Little Nightjar (Caprimulgus parvulus): Small bird with a dark brown body and a white throat. It has short, pointed wings and a slightly forked tail."
caprimulgiformes,Caprimulgus humeralis,Scissor-tailed Nightjar," Medium-sized bird with a dark brown body and a white throat. It has long, scissor-shaped wings and a slightly forked tail.","A photograph of a Scissor-tailed Nightjar (Caprimulgus humeralis): Medium-sized bird with a dark brown body and a white throat. It has long, scissor-shaped wings and a slightly forked tail."
caprimulgiformes,Caprimulgus climacurus,Long-tailed Nightjar," Medium-sized bird with a dark brown body and a white throat. It has long, pointed wings and a long tail.","A photograph of a Long-tailed Nightjar (Caprimulgus climacurus): Medium-sized bird with a dark brown body and a white throat. It has long, pointed wings and a long tail."
caprimulgiformes,Caprimulgus fossii,Square-tailed Nightjar," Medium-sized bird with a dark brown body and a white throat. It has long, pointed wings and a square-shaped tail.","A photograph of a Square-tailed Nightjar (Caprimulgus fossii): Medium-sized bird with a dark brown body and a white throat. It has long, pointed wings and a square-shaped tail."
caprimulgiformes,Caprimulgus atripennis,Jerdon's Nightjar," Medium-sized bird with a dark brown body and a white throat. It has long, pointed wings and a slightly forked tail.","A photograph of a Jerdon's Nightjar (Caprimulgus atripennis): Medium-sized bird with a dark brown body and a white throat. It has long, pointed wings and a slightly forked tail."
caprimulgiformes,Caprimulgus affinis,Savanna Nightjar," Small bird with a sandy-brown body and a white throat. It has long, pointed wings and a slightly forked tail.","A photograph of a Savanna Nightjar (Caprimulgus affinis): Small bird with a sandy-brown body and a white throat. It has long, pointed wings and a slightly forked tail."
caprimulgiformes,Caprimulgus macrurus,Large-tailed Nightjar," Medium-sized bird with a dark brown body and a white throat. It has long, pointed wings and a large tail.","A photograph of a Large-tailed Nightjar (Caprimulgus macrurus): Medium-sized bird with a dark brown body and a white throat. It has long, pointed wings and a large tail."
steatornithiformes,Steatornis caripensis,Oilbird," A nocturnal bird with a wingspan of 95 cm, brown plumage, a hooked beak, and large eyes for night vision. ","A photograph of a Oilbird (Steatornis caripensis): A nocturnal bird with a wingspan of 95 cm, brown plumage, a hooked beak, and large eyes for night vision. "
steatornithiformes,Steatornis caripensis,Guácharo," The same species as the Oilbird, it's known for its unique echolocation abilities, long tail feathers, and a stout body.","A photograph of a Guácharo (Steatornis caripensis): The same species as the Oilbird, it's known for its unique echolocation abilities, long tail feathers, and a stout body."
nyctibiiformes,Nyctibius jamaicensis,Northern Potoo," Large, pale grey bird with large yellow eyes and a wide mouth. It has long wings and tail.","A photograph of a Northern Potoo (Nyctibius jamaicensis): Large, pale grey bird with large yellow eyes and a wide mouth. It has long wings and tail."
nyctibiiformes,Nyctibius grandis,Great Potoo," Large bird with mottled grey and brown plumage. It has a large head, yellow eyes, and a wide mouth.","A photograph of a Great Potoo (Nyctibius grandis): Large bird with mottled grey and brown plumage. It has a large head, yellow eyes, and a wide mouth."
nyctibiiformes,Nyctibius aethereus,Long-tailed Potoo, Medium-sized bird with brown and white mottled plumage. It has a long tail and large yellow eyes.,A photograph of a Long-tailed Potoo (Nyctibius aethereus): Medium-sized bird with brown and white mottled plumage. It has a long tail and large yellow eyes.
nyctibiiformes,Nyctibius leucopterus,White-winged Potoo, Medium-sized bird with dark brown plumage and white wing patches. It has large yellow eyes and a wide mouth.,A photograph of a White-winged Potoo (Nyctibius leucopterus): Medium-sized bird with dark brown plumage and white wing patches. It has large yellow eyes and a wide mouth.
nyctibiiformes,Nyctibius griseus,Common Potoo, Medium-sized bird with grey and brown mottled plumage. It has large yellow eyes and a wide mouth.,A photograph of a Common Potoo (Nyctibius griseus): Medium-sized bird with grey and brown mottled plumage. It has large yellow eyes and a wide mouth.
nyctibiiformes,Nyctibius maculosus,Andean Potoo, Medium-sized bird with brown and white mottled plumage. It has large yellow eyes and a wide mouth.,A photograph of a Andean Potoo (Nyctibius maculosus): Medium-sized bird with brown and white mottled plumage. It has large yellow eyes and a wide mouth.
nyctibiiformes,Nyctibius bracteatus,Rufous Potoo, Small bird with rufous-brown plumage. It has large yellow eyes and a wide mouth.,A photograph of a Rufous Potoo (Nyctibius bracteatus): Small bird with rufous-brown plumage. It has large yellow eyes and a wide mouth.
podargiformes,Podargus strigoides,Tawny Frogmouth," Large, stocky bird with silver-grey plumage, streaked and mottled with black and rufous. Wide, heavy, slightly hooked beak.","A photograph of a Tawny Frogmouth (Podargus strigoides): Large, stocky bird with silver-grey plumage, streaked and mottled with black and rufous. Wide, heavy, slightly hooked beak."
podargiformes,Podargus ocellatus,Marbled Frogmouth," Medium-sized bird with dark brown plumage, mottled with white and rufous. Large yellow eyes and wide, heavy beak.","A photograph of a Marbled Frogmouth (Podargus ocellatus): Medium-sized bird with dark brown plumage, mottled with white and rufous. Large yellow eyes and wide, heavy beak."
podargiformes,Podargus papuensis,Papuan Frogmouth," Large bird with dark brown plumage, streaked with white. Large yellow eyes and wide, heavy beak.","A photograph of a Papuan Frogmouth (Podargus papuensis): Large bird with dark brown plumage, streaked with white. Large yellow eyes and wide, heavy beak."
podargiformes,Rigidipenna inexpectata,Solomons Frogmouth," Medium-sized bird with dark brown plumage, mottled with white and rufous. Large yellow eyes and wide, heavy beak.","A photograph of a Solomons Frogmouth (Rigidipenna inexpectata): Medium-sized bird with dark brown plumage, mottled with white and rufous. Large yellow eyes and wide, heavy beak."
podargiformes,Batrachostomus auritus,Large Frogmouth," Large bird with dark brown plumage, streaked with white. Large yellow eyes and wide, heavy beak.","A photograph of a Large Frogmouth (Batrachostomus auritus): Large bird with dark brown plumage, streaked with white. Large yellow eyes and wide, heavy beak."
podargiformes,Batrachostomus harterti,Dulit Frogmouth," Medium-sized bird with dark brown plumage, mottled with white and rufous. Large yellow eyes and wide, heavy beak.","A photograph of a Dulit Frogmouth (Batrachostomus harterti): Medium-sized bird with dark brown plumage, mottled with white and rufous. Large yellow eyes and wide, heavy beak."
podargiformes,Batrachostomus mixtus,Bornean Frogmouth," Large bird with dark brown plumage, streaked with white. Large yellow eyes and wide, heavy beak.","A photograph of a Bornean Frogmouth (Batrachostomus mixtus): Large bird with dark brown plumage, streaked with white. Large yellow eyes and wide, heavy beak."
